_element_key,_element_name,_element_type,_list_child_element_keys
anos,anos,integer,[]
bairro,bairro,string,[]
bcgmaealt,bcgmaealt,number,[]
bcgmaelar,bcgmaelar,number,[]
bcgnse,bcgnse,string,[]
bcgnse2,bcgnse2,string,[]
bcgnse3,bcgnse3,string,[]
camo,camo,integer,[]
campcode,campcode,integer,[]
campest,campest,string,[]
campinf,campinf,string,[]
cicbcgmae,cicbcgmae,string,[]
cicbcgtipo,cicbcgtipo,string,[]
ciccriass,ciccriass,string,[]
cichor,cichor,number,[]
cicmaeass,cicmaeass,string,[]
cicvert,cicvert,number,[]
cno,cno,integer,[]
defdiag1,defdiag1,string,[]
defdiag2,defdiag2,string,[]
dias,dias,integer,[]
dob,dob,date,[]
esc,esc,string,[]
escola,escola,integer,[]
etnia,etnia,string,[]
falh,falh,integer,[]
falm,falm,integer,[]
gepor,gepor,integer,[]
geresl,geresl,integer,[]
habcom,habcom,string,[]
hemogli1,hemogli1,number,[]
horainth,horainth,integer,[]
horaintm,horaintm,integer,[]
hospitzd,hospitzd,string,[]
idamae,idamae,integer,[]
inf,inf,string,[]
leucocito,leucocito,integer,[]
luzhnsm,luzhnsm,string,[]
meses,meses,integer,[]
nome,nome,string,[]
nomemae,nomemae,string,[]
nomepai,nomepai,string,[]
peso,peso,number,[]
polionas,polionas,date,[]
prodiag1,prodiag1,string,[]
prodiag2,prodiag2,string,[]
project,project,string,[]
reg,reg,string,[]
regdate,regdate,string,[]
roundq,roundq,string,[]
roundsdate,roundsdate,string,[]
rox1,rox1,date,[]
rox2,rox2,date,[]
saida,saida,date,[]
saidacom,saidacom,string,[]
sanguegrp,sanguegrp,string,[]
sex,sex,string,[]
smxcau,smxcau,string,[]
tab,tab,string,[]
tabq,tabq,string,[]
tabz,tabz,string,[]
tdr,tdr,string,[]
telmae,telmae,integer,[]
teloutro,teloutro,integer,[]
telpai,telpai,integer,[]
tempr,tempr,number,[]
transtot,transtot,integer,[]
troc_cart,troc_cart,string,[]
vbcg,vbcg,date,[]
vcartR,vcartR,string,[]
vcartT,vcartT,string,[]
vdcart,vdcart,string,[]
vfam,vfam,date,[]
vp1,vp1,date,[]
vp2,vp2,date,[]
vp3,vp3,date,[]
vpcv1,vpcv1,date,[]
vpcv2,vpcv2,date,[]
vpcv3,vpcv3,date,[]
vpenta1,vpenta1,date,[]
vpenta2,vpenta2,date,[]
vpenta3,vpenta3,date,[]
vpinj,vpinj,date,[]
vsar1,vsar1,date,[]
